Dutch,English
dozen,boxes
uniek,unique
bruin,brown
dronk,drank
vermiste,missing
tegenstander,opponent
bronnen,sources
wegkomen,get away
beschuldigd,accused
kroon,crown
Lana,Lana
Ronnie,Ronnie
veranderingen,changes
ruimen,clear
commissie,committee
Miami,Miami
fans,fans
leerlingen,pupils
straal,beam
bleven,remained
cellen,cells
goeiemorgen,Good morning
bukken,bend down
machtig,mighty
ontploft,explodes
minuutje,a minute
kostuum,costume
borrel,drinks
misselijk,nauseous
weleens,sometimes
klop,knock
concert,concert
ritje,ride
artsen,doctors
juwelen,jewelry
bliksem,lightning
verhuisd,moved
Spanje,Spain
ambassade,embassy
script,script
luisterde,listened
levenslang,lifelong
opening,opening
regent,rains
symptomen,symptoms
hitte,heat
opent,opens
gemene,mean
handig,handy
lamp,lamp
s,s
officieren,officers
boer,farmer
reclame,advertisement
ooh,ooh
opwindend,exciting
bedrogen,deceived
straling,radiation
hup,come on
alpha,alpha
indianen,Indians
geluisterd,listened
dadelijk,immediately
kern,core
spijtig,regrettably
krachtig,powerful
gerucht,rumor
financiële,financial
langzamer,slower
uitkomt,comes out
wenst,wishes
arrestatie,arrest
robots,robots
enge,scary
Tess,Tess
bevallen,to suit
operaties,operations
kwetsen,hurt
diefstal,theft
dieven,thieves
ontwikkeld,developed
goedkope,cheap
klaarmaken,prepare
smeken,beg
paus,pope
straffen,punishments
schut,sluice
voorwaarden,conditions
asjeblieft,please
bestond,existed
brachten,brought
nadert,approaches
glorie,glory
overdag,during the day
telefoonnummer,phone number
doorgaat,continues
omgekomen,perished
bestuur,management
auditie,audition
lager,lower
gekken,crazy people
bood,offered
begrip,concept
generatie,generation
wetenschappers,scientists
ademt,breathes
eenzame,lonely
beu,tired
Stephen,Stephen
trouwde,married
opties,options
hogere,higher
hing,hung
hakken,heels
tekort,shortage
doorzoeken,search
handschoenen,gloves
draad,wire
bingo,bingo
air,air
diensten,services
helm,helmet
eed,oath
timing,timing
instappen,board
korporaal,corporal
pappie,daddy
complete,complete
bijeen,together
uitgevonden,invented
district,district
leiders,leaders
speciaals,special
lokken,lure
congres,Congress
blinde,blind
uitstappen,get off
compagnie,company
overleed,passed away
totale,total
stoute,naughty
baard,beard
Thanksgiving,Thanksgiving
standaard,standard
Halloween,Halloween
kou,cold
haren,hair
schakelen,to change gear
nachtmerries,nightmares
jongedame,young lady
gezegend,blessed
Fransen,French
mazzel,good luck
legaal,legal
falen,fail
dog,dog
Bourne,Bourne
coke,coke
serieuze,serious
transport,transport
tenen,toes
Houston,Houston
salaris,salary
per,per
offer,offer
knopen,buttons
Gloria,Gloria
respecteren,respect
kwetsbaar,vulnerable
nucleaire,nuclear
freak,freak
slaag,succeed
bevroren,frozen
herkende,recognized
innemen,to take
veertien,fourteen
zochten,searched
bedank,thank you
achtervolgen,chase
vergunning,permit
gij,you
menigte,crowd
herhalen,repeat
Italië,Italy
stille,silent
Brooklyn,Brooklyn
plaat,plate
regelt,arranges
autoriteiten,authorities
intelligent,intelligent
jood,Jew
gebeden,prayers
apen,monkeys
weigert,refuses
beroven,to rob
blanken,whites
modder,mud
gewapende,armed
goedmaken,make amends
vampiers,vampires
schuilplaats,shelter
bewaken,guard
verbazingwekkend,amazing
verf,paint
Jamal,Jamal
tijger,tiger
mode,fashion
volwassenen,adults
overdreven,exaggerated
Shane,Shane
woning,home
agenda,agenda
opsluiten,lock up
drankjes,drinks
doorstaan,endure
telefoons,phones
kick,kick
Meredith,Meredith
lesje,lesson
diamant,diamond
stapt,steps
maatschappij,society
pet,pet
gids,guide
ticket,ticket
delict,crime
schouders,shoulders
revolutie,revolution
verslaafd,addicted
cultuur,culture
besproken,discussed
gene,gene
revolver,revolver
prijzen,prices
geland,landed
staal,steel
sms,SMS
broodje,sandwich
Trevor,Trevor
afspreken,to agree
metaal,metal
teruggeven,return
gesneden,cut
Shrek,Shrek
getroffen,affected
undercover,undercover
bossen,forests
haak,hook
griet,brill
Moskou,Moscow
krijt,chalk
algemeen,general
Spock,Spock
actrice,actress
Jess,Jess
redding,rescue
legde,laid
zinloos,senseless
dertien,thirteen
cocaïne,cocaine
plots,suddenly
gevolg,consequence
troon,throne
non,non
klappen,clap
zeuren,to moan
smeer,grease
voert,carries
haai,shark
bouw,build
dodelijke,deadly
hoofden,heads
tuig,scum
analyse,analysis
uitmaakt,matters
treffen,meet
opereren,operate
zooi,mess
accent,accent
kruipen,crawl
onderdelen,parts
clown,clown
marinier,marine
weggelopen,ran away
depressief,depressed
rebellen,rebels
dumpen,dump
handboeien,handcuffs
kabel,cable
happy,happy
buurman,neighbour
achterlijk,retarded
beëindigen,terminate
tempo,speed
road,road
onbeleefd,impolite
kameraad,comrade
vrouwtje,female
adviseur,advisor
bruine,brown
informant,informant
bevolking,population
beschaving,civilization
rechterhand,right hand
roman,novel
stort,dump
drieën,three
gedicht,poem
opletten,pay attention
werkten,worked
wodka,vodka
grappen,jokes
zonsopgang,sunrise
beschouw,consider
ziekenboeg,infirmary
werelden,worlds
stoer,tough
November,November
aankan,can handle
getest,tested
vanwaar,from where
toespraak,speech
harten,hearts
tijdstip,time
kofferbak,trunk
bewaakt,guarded
kap,hood
aanvaard,accepted
weduwe,widow
koeien,cows
nagels,nails
zielige,pathetic
uitzending,broadcast
opsporen,track down
Rebecca,Rebecca
wijsheid,wisdom
voorstelling,performance
neukt,fucks
hoeveelheid,quantity
Phoebe,Phoebe
dankje,Thank you
vallei,valley
zussen,sisters
onthou,remember
testament,will
codes,codes
strategie,strategy
heden,today
opstand,revolt
poten,mates
puinhoop,mess
verschijnen,to appear
zesde,sixth
afzetten,to take off
parkeerplaats,parking lot
wisselen,to switch
vreugde,joy
poesje,kitten
bestand,file
verhouding,relationship
originele,original
foute,wrong
Times,Times
hetgeen,which
massa,mass
figuur,figure
natie,nation
verrassen,surprise
plank,plank
verbroken,broken
typisch,typical
streng,strict
scholen,schools
liefst,sweetest
respecteer,respect
Blair,Blair
activiteiten,activities
gestudeerd,studied
noodzakelijk,necessary
keken,looked
belasting,tax
weddenschap,bet
krijger,warrior
alhoewel,although
mislukt,failed
apparatuur,equipment
boeien,handcuffs
vermoeden,suspect
voorraad,stock
Gabriël,Gabriel
geil,horny
zestien,sixteen
product,product
nest,nest
wagens,cars
functie,function
ontstaan,to arise
Seattle,Seattle
heilig,holy
handdoek,towel
muis,mouse
succesvol,successful
idiote,idiot
elektrische,electric
opgezet,set up
diploma,diploma
springt,jumps
cd,CD
aantrekken,attract
gehoopt,hoped
eis,requirement
banken,banks
bemoeien,interfere in
hierna,hereinafter
examen,exam
strafblad,criminal record
zelden,seldom
balans,balance
verbeteren,improve
sparen,save
hersteld,restored
geel,yellow
zwarten,blacks
extreem,extreme
bishop,bishop
republiek,republic
blonde,blonde
Janet,Janet
nutteloos,useless
Malcolm,Malcolm
professionele,professional
verzin,invent
Miguel,Miguel
schok,shock
Craig,Craig
schrik,scare
alvast,already
boem,boom
spieren,muscles
record,record
loser,loser
drijven,to conduct
verberg,hide
opgevallen,noticed
nakijken,check
emotionele,emotional
prioriteit,priority
onderschat,underestimated
rondje,round
ego,ego
beker,cup
professioneel,professional
winkelcentrum,shopping center
verzekeren,to insure
beleid,policy
genoten,enjoyed
vee,cattle
vergif,poison
gastheer,host
wachtwoord,password
stam,stem
ongeval,accident
leve,long live
achternaam,surname
voorafging,preceded
vrijwillig,voluntarily
duim,thumb
Elliot,Elliot
stiekem,secretly
instinct,instinct
vereerd,honored
vergelijken,to compare
verdere,further
weetje,fun fact
cola,cola
bod,bid
put,well
ademhalen,breathing
vaardigheden,skills
ontvangt,receives
zeldzaam,rare
database,database
bitch,bitch
ceremonie,ceremony
alibi,alibi
grootmoeder,grandmother
zakenman,businessman
stadje,town
charmant,charming
boekje,booklet
misdrijf,crime
spider,spider
checken,check
leed,suffered
Marc,Marc
golven,waves
belooft,promises
Afghanistan,Afghanistan
ontsnapte,escaped
sokken,socks
vreemden,strangers
fascinerend,fascinating
vermoed,suspected
verklaard,explained
afhankelijk,dependent
wonderen,miracles
grof,course
cash,cash
finale,final
gebakken,fried
schaal,dish
koppen,headings
lek,leak
technische,technical
Fiona,Fiona
schijn,appearance
teleur,disappointed
Jules,Jules
troost,consolation
earl,earl
gestaan,stood
vest,vest
tegelijkertijd,at the same time
treden,step
zonsondergang,sunset
afnemen,to decrease
trip,trip
zogenaamde,so-called
radar,radar
bewijsmateriaal,evidence
oppassen,to watch out
wijk,neighborhood
vreemds,strange
afleiding,distraction
ontwikkelen,to develop
rondlopen,walking around
illegale,illegal
arrest,arrest
gevechten,fights
moeras,swamp
paranoïde,paranoid
uitkijken,watch out
communiceren,communicate
rent,rent
ingebroken,broken into
ge,ge
zachtjes,gently
secretaresse,secretary
stoere,cool
Sun,Sun
gelegen,convenient
ham,ham
dagelijks,daily
inwoners,residents
dekmantel,cover
Dallas,Dallas
rozen,roses
boten,boats
misbruik,abuse
deken,blanket
aanpassen,to adjust
sowieso,anyway
au,au
blad,leaf
scheppen,to create
bekijkt,views
zuigen,suck
vergiftigd,poisoned
bezoekers,visitors
bezocht,visited
economie,economy
dappere,brave
linker,left
ontwerp,design
lijnen,lines
saus,sauce
uurtje,hour
special,special
praktisch,practical
gigantische,gigantic
Jen,Jen
luchtmacht,air force
uitleg,explanation
kalmeren,calm down
academie,academy
bestanden,files
spuit,spray
united,united
wade,wade
euro,euro
mysterieuze,mysterious
tumor,tumor
huilt,cries
huwelijksreis,honeymoon
vastgebonden,tied up
verlof,leave
gevlogen,flown
wolven,wolves
enthousiast,enthusiastic
shock,shock
hopeloos,hopeless
Italiaans,Italian
insecten,insects
Pentagon,Pentagon
monsieur,Monsieur
gegroet,greetings
spraken,spoke
schreeuwde,screamed
vang,catch
Egypte,Egypt
duister,dark
proficiat,congratulations
mobieltje,mobile phone
gore,disgusting
waardeloze,worthless
gitaar,guitar
stapel,pile
verse,fresh
bedriegen,cheat
aanraakt,touches
ontbreekt,missing
jagers,hunters
varkens,pigs
traceren,trace
gezonde,healthy
beledigen,insult
schietpartij,shooting
naald,needle
protocol,protocol
leuks,nice things
tanks,tanks
liter,liter
organen,organs
lichte,light
vernietig,destroy
smeren,to smear
doelen,goals
warmte,heat
behandel,treat
voorwaarts,forward
evacueren,evacuate
geleend,borrowed
mille,thousand
moois,beautiful
munt,coin
mannelijke,male
gemeld,reported
kritiek,criticism
uitgekozen,selected
geloofd,believed
olifant,elephant
handje,little hand
Kansas,Kansas
terugbellen,call back
makkie,easy peasy
liedjes,songs
oproepen,to call to action
diverse,various
acties,actions
dwerg,dwarf
regelmatig,regularly
plaatselijke,local
geroepen,called
stoot,bump
verdragen,treaties
nare,nasty
elektriciteit,electricity
ruimteschip,spaceship
sloot,ditch
hierop,on this
verwondingen,injuries
verre,far
honkbal,baseball
vreemdeling,foreigner
afgenomen,decreased
Natalie,Natalie
verwerken,process
inbraak,burglary
bonen,beans
scoren,score
litteken,scar
schurk,villain
werking,operation
Scofield,Scofield
slangen,snakes
kwaliteit,quality
beseffen,to realize
hot,hot
huisje,cottage
yep,yep
bekentenis,confession
gezag,authority
overwegen,to consider
madame,Madame
bepaalt,determines
platen,plates
rotsen,rocks
geobsedeerd,obsessed
cake,cake
toast,toast
werknemers,employees
uitzondering,exception
executie,execution
realiseer,realize
frequentie,frequency
probleempje,little problem
danst,dances
spook,ghost
ertoe,to that
reserve,reserve
blond,blond
ongelijk,unequal
maten,sizes
chemische,chemical
voortdurend,continual
vliegende,flying
kalkoen,turkey
remmen,brakes
doodgaat,dies
website,website
pil,pill
loyaliteit,loyalty
letters,letters
nikker,nigger
hemd,shirt
stoelen,chairs
racen,racing
doorgebracht,spent
luxe,luxury
chips,chips
dvd,DVD
bestuderen,study
Italiaanse,Italian
hieraan,to this
rugzak,backpack
ontvang,receive
koffers,suitcases
tiener,teenager
hoever,how far
luchthaven,airport
riskant,risky
gewoond,lived
mw.,Ms.
Duits,German
hiernaast,next to this
Robinson,Robinson
Artie,Artie
achterdeur,back door
geschorst,suspended
Gates,Gates
boter,butter
stank,stench
baantje,job
tragedie,tragedy
omheen,around
vernietiging,destruction
koper,copper
kenden,knew
invasie,invasion
eend,duck
vermaak,entertainment
elkaars,each other's
maart,March
zuiver,pure
gewelddadig,violent
egoïstisch,selfish
contacten,contacts
gezworen,sworn
herrie,noise
wolken,clouds
vrijgezel,bachelor
ongetwijfeld,undoubtedly
overtreding,offence
sterkste,strongest
creditcard,credit card
verzekerd,insured
tand,tooth
Debbie,Debbie
bakken,baking
zegene,bless
nieuwste,latest
verkrachting,rape
stoned,stoned
uiterste,extreme
roos,rose
gangster,gangster
bijen,bees
huilde,cried
compliment,compliment
jaagt,hunts
twijfelen,to doubt
serveerster,Waitress
teleurstellen,disappoint
verzamel,collect
tapijt,carpet
blut,broke
verkloot,screwed up
vermoorde,murdered
borden,plates
tegemoet,meet
nader,further
ongewoon,unusual
batterij,battery
liepen,walked
Batman,Batman
voorkant,front
storing,malfunction
boksen,boxing
klem,clamp
aflevering,episode
gezeik,bullshit
detail,detail
haaien,sharks
verzorgen,to nurse
nichtje,cousin
vereist,required
overhoop,messed up
raadsel,puzzle
zweren,ulcers
weigerde,refused
agressief,aggressive
ram,Ram
a.u.b.,please
artiest,artist
grootte,size
vrezen,fear
kwijtraken,lose
eeuwigheid,eternity
aas,bait
lerares,teacher
allergisch,allergic
beveel,recommend
complex,complex
overhalen,to convince
kappen,to cut
schijnen,to shine
activiteit,activity
honing,honey
weerstaan,resist
grijze,gray
ongedeerd,unharmed
bol,ball
opgehaald,fetched
klim,climb
gebeurtenis,event
stout,naughty
diagnose,diagnosis
beschoten,shot
kudde,herd
edgar,Edgar
uitstekende,excellent
afwachten,wait
bezittingen,possessions
politieman,policeman
warren,Warren
uitrusting,equipment
affaire,affair
luid,loud
banen,jobs
aangetrokken,attracted
knoop,button
lachte,laughed
besturen,governing
vernield,destroyed
fris,fresh
basketbal,basketball
kraken,crack
afgeleid,derived
beschrijven,to describe
bezeten,possessed
klooster,monastery
geïdentificeerd,identified
chinezen,Chinese
terugkeer,return
suite,suite
hamer,hammer
out,out
time,time
brekend,breaking
